City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
145,kavieng,100,PG,1562272262,72,-2.57,150.8,83.03,10.89
146,oktyabrskoye,0,RU,1562272263,88,56.73,85.44,64.0,6.71
147,ribeira grande,20,PT,1562272263,64,38.52,-28.7,71.6,9.17
148,aswan,0,EG,1562272263,7,24.09,32.9,91.4,10.29
149,heihe,75,RU,1562272263,100,50.24,127.51,57.2,6.71
150,dandong,38,CN,1562272264,98,40.12,124.37,66.93,7.76
151,longyearbyen,75,NO,1562272264,61,78.22,15.63,48.2,28.86
152,mount gambier,0,AU,1562272265,100,-37.83,140.78,39.2,6.93
153,georgetown,40,GY,1562272265,74,6.8,-58.16,87.8,13.87
154,smithers,75,CA,1562272234,63,54.78,-127.17,66.2,4.38
155,grand gaube,40,MU,1562272024,78,-20.01,57.66,71.6,6.93
156,nhulunbuy,9,AU,1562272027,93,-12.18,136.78,66.2,1.12
157,daru,76,PG,1562272266,87,-9.07,143.21,73.29,5.7
158,salalah,75,OM,1562272266,88,17.01,54.1,82.4,3.36
159,victoria,75,BN,1562271990,94,5.28,115.24,78.8,7.29
160,harlingen,90,NL,1562272266,77,53.18,5.41,64.4,5.82
161,tshikapa,0,CD,1562272266,28,-6.42,20.79,72.03,1.97
162,moose factory,20,CA,1562272034,35,51.26,-80.61,87.8,11.41
163,santa maria,0,BR,1562272267,30,-16.02,-48.01,82.4,9.17
164,goderich,23,CA,1562272268,55,43.74,-81.71,88.0,5.99
165,guerrero negro,0,MX,1562272025,85,27.97,-114.04,65.08,15.1
166,hailar,100,CN,1562272268,90,49.2,119.7,51.22,17.16
167,salinas,1,US,1562272268,49,36.67,-121.66,81.0,11.41
168,brae,97,GB,1562272268,81,60.4,-1.35,51.8,6.93
169,mulege,0,MX,1562272269,43,26.88,-111.98,91.31,16.98
170,opuwo,0,NA,1562272269,26,-18.06,13.84,57.2,6.82
171,ikryanoye,75,RU,1562272269,73,46.1,47.74,75.2,2.24
172,ferry pass,40,US,1562272212,52,30.51,-87.21,98.01,11.41
173,udachnyy,75,RU,1562272270,87,66.42,112.4,57.2,4.47
174,pangnirtung,75,CA,1562272270,70,66.15,-65.72,48.2,13.87
175,kieta,56,PG,1562272270,79,-6.22,155.63,79.39,5.75
176,le vauclin,25,MQ,1562272270,83,14.55,-60.84,82.4,11.41
177,cockburn town,40,TC,1562272270,66,21.46,-71.14,89.6,13.87
178,la ronge,90,CA,1562272271,59,55.1,-105.3,60.8,14.99
179,avarua,49,CK,1562272022,68,-21.21,-159.78,71.6,14.99
180,kajaani,0,FI,1562272271,67,64.22,27.73,57.2,8.05
181,buraydah,0,SA,1562272271,20,26.33,43.97,93.2,4.7
182,bethel,90,US,1562272272,93,60.79,-161.76,55.4,4.7
183,kurmanayevka,0,RU,1562272272,77,52.51,52.07,59.39,6.29
184,port hardy,90,CA,1562272272,82,50.7,-127.42,57.2,9.17
185,narsaq,75,GL,1562272272,39,60.91,-46.05,62.6,9.17
186,rojhan,0,PK,1562272273,36,28.69,69.95,94.44,9.78
187,san patricio,24,PY,1562272273,66,-26.98,-56.83,52.03,7.38
188,laguna,20,BZ,1562272273,52,16.17,-88.94,91.4,4.7
189,padang,95,ID,1562272274,82,-0.92,100.36,81.41,4.81
190,torbay,90,CA,1562272216,93,47.66,-52.73,57.2,5.82
191,katsuura,75,JP,1562272274,94,33.93,134.5,71.6,3.36
192,camacha,75,PT,1562272274,77,33.08,-16.33,69.8,11.41
193,manzanillo,40,MX,1562272274,70,19.05,-104.32,87.8,11.41
194,gushikawa,90,JP,1562272275,100,26.35,127.87,80.6,17.22
195,hamilton,20,CA,1562272190,66,43.26,-79.87,88.0,9.17
196,colares,20,PT,1562272275,88,38.8,-9.45,66.2,6.93
197,nouadhibou,0,MR,1562272276,73,20.93,-17.03,69.8,19.46
198,grindavik,75,IS,1562272145,81,63.84,-22.43,55.0,17.22
199,gopalpur,83,BD,1562272276,80,24.18,89.13,83.55,6.15
200,vardo,20,US,1562272276,58,39.62,-77.74,91.4,11.41
201,emba,0,CY,1562272277,78,34.81,32.42,78.8,5.82
202,rincon,40,PA,1562272277,70,8.46,-82.28,87.8,10.29
203,tanete,0,ID,1562272277,83,-3.94,119.78,77.82,14.79
204,port-gentil,90,GA,1562272277,94,-0.72,8.78,73.4,9.17
205,fukue,75,JP,1562272278,88,35.03,136.69,78.01,3.36
206,saint george,20,GR,1562272202,39,39.45,22.34,80.6,8.05
207,barabinsk,60,RU,1562272278,92,55.35,78.35,57.3,7.92
208,faya,0,SA,1562272279,68,18.39,42.45,71.6,4.7
209,bayji,0,IQ,1562272279,18,34.93,43.49,86.46,5.99
210,bonthe,100,SL,1562272279,89,7.53,-12.5,77.66,8.52
211,leh,95,IN,1562272279,55,34.16,77.58,35.76,4.34
